farmer_address,position_index,position_count
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,5,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,6,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,7,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,8,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,9,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,10,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,11,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,12,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,13,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,14,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,15,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,16,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,17,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,18,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,19,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,20,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,21,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,22,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,23,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,24,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,25,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,26,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,27,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,28,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,29,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,30,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,31,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,32,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,33,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,34,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,35,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,36,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,37,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,38,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,39,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,40,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,41,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,42,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,43,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,44,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,45,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,46,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,47,47
0xd36f6c76572e7a2e9b457ca7de541c2f4115c649,1,1
0xdaa2a9a52ee3d248226f8123a7e518c320aa9d7a,1,3
0xdaa2a9a52ee3d248226f8123a7e518c320aa9d7a,2,3
0xdaa2a9a52ee3d248226f8123a7e518c320aa9d7a,3,3
0xdac550740337f8549873cc1d15fa52b48d120eb8,1,1
0xe2e92cff984e77e465baa25abdabfb987d1e9713,1,1
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,1,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,2,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,3,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,4,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,5,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,6,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,7,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,8,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,9,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,10,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,11,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,12,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,13,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,14,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,15,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,16,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,17,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,18,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,19,20
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,20,20
0xf054fdf38beeeb1f9e8eda941bb11a8dfdc0155c,1,2
0xf054fdf38beeeb1f9e8eda941bb11a8dfdc0155c,2,2
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,1,9
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,2,9
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,3,9
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,4,9
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,5,9
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,6,9
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,7,9
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,8,9
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,9,9
